ID,title,author,isbn,publisher,edition,pages,dimension
429,Huck Finn and the Zombie Jim,Mark Twain,9781499359107,CreateSpace Independent Publishing Platform,Unknown,,
430,Chemistry,Bernadette Bensaude Vincent; Jonathan Simon,9781848168114,Imperial College Press,Unknown,300 pages,
431,The End of Infinity (Jack Blank Adventure A),Matt Myklusch,9781416995685,Aladdin,Unknown,,
432,The 10% Solution for a Healthy Life,Ray Kurzweil; Steven R. Flier; Robert Bauer,9780517883013,Three Rivers Press (CA),Unknown,384 pages,5.48 x 8.55 x 0.92 inches
433,The Night Eternal (The Strain Trilogy),Guillermo; Hogan; Chuck Del Toro,9780062196927,William Morrow Paperbacks,Unknown,,
434,Inception,Christopher Nolan,9781608870158,Insight Editions,Unknown,239 pages,6.02 x 9.03 x 0.66 inches
435,Firefight (The Reckoners),Brandon Sanderson,9780385743594,Ember,Unknown,,
436,High-Quality Loudspeaker Engineering,Martin James Lawrence,9781291407532,Lulu.com,Unknown,630 pages,5.98 x 9.02 x 1.54 inches
437,Dr. Death,Jonathan Kellerman,9780345508522,Ballantine Books,Unknown,473 pages,6.54 x 7.48 x 1.19 inches
438,Green Lantern,Ron Marz,9781401276874,DC Comics,Unknown,,
439,Peter Pan and Wendy,James Matthew Barrie; Robert Ingpen; David Barrie,9781402728686,Sterling,Unknown,216 pages,7.92 x 9.50 x 1.30 inches
440,The Last of the Mohicans,James Fenimore Cooper; Stephen Railton,9781593081379,Barnes & Noble,Unknown,384 pages,5.30 x 7.96 x 1.10 inches
441,The Blessing,Jude Deveraux,9780671891091,Pocket Star Books,Unknown,336 pages,4.20 x 6.77 x 0.94 inches
442,Haunted,James Herbert,9781509816026,Pan Macmillan,Unknown,,
443,Science Communication,Sarah R.; Horst; Maja Davies,9781137503640,Palgrave Macmillan,Unknown,,
444,Amnesty,Cambria Hebert,9781946836069,Cambria Hebert,Unknown,,
445,Runaways,Brian K. Vaughn,9780785187844,Marvel,Unknown,,
446,The Elves of Cintra,Terry Brooks,9780345484130,Del Rey Books,Unknown,449 pages,4.22 x 6.96 x 1.00 inches
447,A Dirty Game,David Lowe,9781609118532,Eloquent Books,Unknown,384 pages,9.01 x 5.98 x 0.85 inches
448,Peter Pan by J. M. Barrie - The Original Classic Edition,James Matthew Barrie,9781742449616,Tebbo,Unknown,82 pages,9.69 x 7.44 x 0.17 inches
449,Hatred for Black People,Shehu Sani,9781493120741,Xlibris Corporation,Unknown,454 pages,5.98 x 9.02 x 1.02 inches
450,The Big Blowdown,George P. Pelecanos,9780312242916,Minotaur Books,Unknown,322 pages,5.40 x 8.40 x 0.90 inches
451,The Vacationers,Emma Straub,9781594633881,Riverhead Books,Unknown,,
452,Christmas Delights Bk 2,Martha Mier,9780739028872,Alfred Publishing Co. Inc.,Unknown,16 pages,8.80 x 11.80 x 0.30 inches
453,The Antichrist (Barnes & Noble Library of Essential Reading),Friedrich Wilhelm Nietzsche; Anthony M. Ludovici; Dennis Sweet,9780760777701,Barnes & Noble,Unknown,112 pages,
454,An Artificial Night,Seanan McGuire,9780756406264,Daw Books,Unknown,371 pages,4.20 x 6.70 x 1.20 inches
455,The Pilgrim's Progress and Grace Abounding to the Chief of Sinners,John Bunyan; John F. Thornton; Susan B. Varenne,9780375725685,Vintage Books USA,Unknown,400 pages,5.28 x 8.06 x 0.85 inches
456,Essays,George Orwell; John Carey,9780375415036,Everyman's Library,Unknown,1416 pages,5.50 x 8.33 x 2.48 inches
457,Blood Tree,Scarlett Dawn,9781518788444,CreateSpace Independent Publishing Platform,Unknown,,
458,Microworlds,Stanislaw Lem; LEM; Franz Rottensteiner,9780156594431,Mariner Books,Unknown,312 pages,5.52 x 8.56 x 0.78 inches
459,A Journey to Freedom,Steven W. Moore,9781450234887,iUniverse,Unknown,392 pages,9.01 x 5.98 x 0.80 inches
460,The Silver Spoon,Archer K. T. Archer,9781450232043,iUniverse,Unknown,268 pages,8.50 x 5.51 x 0.60 inches
461,Stephen Marlowe  Science Fiction Collection,Stephen Marlowe,9781500490201,CreateSpace Independent Publishing Platform,Unknown,,
462,Wilderness Tips,Margaret Atwood,9780385491112,Anchor Books,Unknown,240 pages,5.21 x 8.00 x 0.67 inches
463,Heven & Hell Anthology,Cambria Hebert,9781938857188,Cambria Hebert,Unknown,216 pages,5.98 x 9.02 x 0.47 inches
464,Baker's Deadly Dozen (A Fresh Baked Mystery) (Volume 13),Livia J. Washburn,9780692353233,Fire Star Press,Unknown,,
465,Hell Divers (Hell Divers Trilogy Book 1),Nicholas Sansbury Smith,9781504725842,Blackstone Publishing,Unknown,,
466,Iceberg,Clive Cussler,9780425197387,Berkley,Unknown,384 pages,4.29 x 7.52 x 0.96 inches
467,An Open Book,craig lock,9781494903930,CreateSpace Independent Publishing Platform,Unknown,,
468,The Autobiography of an Ex-Colored Man,James Weldon Johnson; Noelle Morrissette; Delano Greenidge-Copprue,9781593082895,Barnes & Noble,Unknown,157 pages,5.20 x 8.02 x 0.59 inches
469,Frankenstein,Mary Wollstonecraft Shelley; Karen Karbiener,9781593081157,Barnes & Noble,Unknown,223 pages,5.22 x 7.97 x 0.73 inches
470,I Once Was a Monkey,Jeanne M. Lee,9780374335489,Farrar Straus Giroux,Unknown,40 pages,8.90 x 10.92 x 0.38 inches
471,David Blaize and the Blue Door,Edward Frederic Benson,9781514171547,CreateSpace Independent Publishing Platform,Unknown,,
472,The Pilgrim's Progress (Part 1) Abridged & Illustrated,John Bunyan,9781500927592,CreateSpace Independent Publishing Platform,Unknown,,
473,Instructions,Neil Gaiman,9780061960321,HarperCollins,Unknown,,
474,Moon Rise,John Lawry,9780648171003,John Lawry Studio & Gallery,Unknown,,
475,Antioxidants Failures & Dangers,Phd Prof Randolph M. Howes MD,9781463671587,Createspace,Unknown,434 pages,5.98 x 9.02 x 0.88 inches
476,Race and Popular Fantasy Literature,Helen Young,9781138850231,Routledge,Unknown,,
477,Hannibal (Great Military Leaders),Joel Newsome,9781502628695,Cavendish Square Publishing,Unknown,,
478,Archangel's Shadows (A Guild Hunter Novel),Nalini Singh,9780425251171,Berkley,Unknown,,
479,The Penelopiad,Margaret Atwood,9780571239498,Faber & Faber,Unknown,112 pages,5.08 x 7.80 x 0.31 inches
480,Fellowship in a Ring,Neil Hollands,9781591587033,Libraries Unlimited,Unknown,300 pages,6.90 x 9.80 x 0.80 inches
481,Call Me by Your Name,Andre Aciman,9780312426781,Picador USA,Unknown,248 pages,5.47 x 8.26 x 0.68 inches
482,The Repairman,Harry Harrison,9781530324897,CreateSpace Independent Publishing Platform,Unknown,,
483,MYTHOLOGY LEGENDS FROM AROUND THE GLOBE,Andreas Sofroniou,9781326986308,Lulu.com,Unknown,,
484,The Pilgrim's Progress Accurate Revised Text Edition,John Bunyan,9780967084022,Reformation Press Publishing,Unknown,,
485,Away (Volume 2,Norman Oro,9781477429259,CreateSpace Independent Publishing Platform,Unknown,,
486,Hell Divers II,Nicholas Sansbury Smith,9781504726016,Blackstone Publishing,Unknown,,
487,Deathworld 2,Harry Harrison,9781515402404,Positronic Publishing,Unknown,,
488,Manhunt,James Patterson,9780316473491,BookShots,Unknown,,
489,Lois Mcmaster Bujold,Janet Brennan Croft,9780786468331,McFarland & Co Inc,Unknown,,5.98 x 9.02 x 0.79 inches
490,Ballroom Dancing,Alex Moore,9781406793734,Pomona Press,Unknown,320 pages,8.50 x 5.51 x 0.71 inches
491,I Am Awesome (I Am Book),Sebastian A. Jones Garcelle Beauvais,9781939834133,Stranger Kids (An imprint of Stranger Comics),Unknown,,
492,Ex Machina Book Five,Brian K. Vaughan,9781401254223,Vertigo,Unknown,,
493,Etrange Printemps Aux Glenan (French Edition),Jean-Luc Bannalec,9782258109056,PC Domaine Francais,Unknown,,
494,The Eagle Catcher,Margaret Coel,9780425262740,Berkley Publishing Group,Unknown,272 pages,
495,The Dollhouse Murders,Betty Ren Wright,9780823421725,Holiday House,Unknown,149 pages,5.59 x 8.26 x 0.49 inches
496,A Private View,Anita Brookner,9780679754435,Vintage Books,Unknown,252 pages,5.16 x 7.96 x 0.51 inches
497,Favorite Folktales from Around the World,Jane Yolen,9780394751887,Pantheon Books,Unknown,512 pages,6.02 x 9.21 x 1.33 inches
498,Amnesia,Cambria Hebert,9781946836038,Cambria Hebert,Unknown,,
499,Lady Chatterley's Lover,D. H. Lawrence; Susan Ostrov Weisser,9781593082390,Barnes & Noble,Unknown,345 pages,5.33 x 7.99 x 1.06 inches
500,Hunting Fear,Kay Hooper,9780553585988,Bantam Books,Unknown,350 pages,6.34 x 7.30 x 1.09 inches
501,A Different Christmas,CM Doporto,9781519420770,CreateSpace Independent Publishing Platform,Unknown,,
502,As Nature Made Him,John Colapinto,9780061120565,Harper Perennial,Unknown,289 pages,5.38 x 8.02 x 0.84 inches
503,The Influence of Imagination,Lee Easton; Randy Schroeder,9780786432301,McFarland & Company,Unknown,228 pages,6.39 x 9.03 x 0.52 inches
504,Hiroshima (Spanish Edition),John Hersey,9781519492333,CreateSpace Independent Publishing Platform,Unknown,,
505,Lisa's Way,Robert L. Collins,9781463777395,CreateSpace,Unknown,,
506,Babylon and Other Stories,Alix Ohlin,9781400031399,Vintage Books USA,Unknown,288 pages,5.48 x 7.96 x 0.63 inches
507,The Diva Paints the Town,Krista Davis,9780425233443,Berkley,Unknown,293 pages,4.32 x 6.82 x 0.82 inches
508,Every Little Thing (The Butler Vermont Series) (Volume 1),Marie Force,9781946136060,HTJB Inc.,Unknown,,
509,Tiger's Eye,Karen Robards,9780380755554,Avon Books,Unknown,400 pages,4.22 x 6.88 x 1.15 inches
510,Songs for the New Age,James Oppenheim,9781516806652,CreateSpace Independent Publishing Platform,Unknown,,
511,Trading Agents,Michael Wellman,9781598296051,Morgan & Claypool,Unknown,108 pages,7.50 x 9.25 x 0.22 inches
512,The Year's Top Ten Tales of Science Fiction 8 (Volume 8),Allan; Reed; Robert; Reynolds; Alastair; Robson; Kel Kaster,9781536898408,CreateSpace Independent Publishing Platform,Unknown,,
513,Clarkesworld Issue 94,Neil; Jemisin; N. K.; Lee; Yoon Ha; Wade; Juliette; Clarke,9780692248263,Clarkesworld Magazine,Unknown,,
514,First in Thirst,Darren Rovell,9780814410950,AMACOM/American Management Association,Unknown,256 pages,6.04 x 9.07 x 0.56 inches
515,The Jack Blank Collection,Matt Myklusch,9781442487185,Aladdin,Unknown,,
516,Daniel J. Boorstin,Angela M. Leonard; Angela Michele Leonard,9780313303241,Greenwood,Unknown,272 pages,6.46 x 9.52 x 0.96 inches
517,The McCullagh Inn in Maine (BookShots Flames),Jen McLaughlin,9780316320115,BookShots,Unknown,,
518,Aquamancer,Don Callander,9781594261794,Mundania Press LLC,Unknown,220 pages,5.98 x 9.02 x 0.51 inches
519,Star Hoppers,Bill Napoli,9781503535138,XLIBRIS,Unknown,,
520,Star Trek: Vanguard,David Mack,9781451687453,Gallery Books,Unknown,352 pages,5.00 x 7.90 x 1.00 inches
521,Emma,Austen,9781927925355,UDON Entertainment,Unknown,,
522,A Portrait of the Artist as a Young Man and Dubliners (Barnes & Noble Classics Series),James Joyce; Kevin J. H. Dettmar,9781593080310,Barnes & Noble Classics,Unknown,464 pages,5.26 x 7.99 x 1.30 inches
523,The Myth of Persephone in Girls' Fantasy Literature (Children's Literature and Culture),Holly Blackford,9781138793491,Routledge,Unknown,,
524,Homecoming,Patricia Briggs; David Lawrence; Rich Young,9780345509888,Del Rey Books,Unknown,,6.92 x 10.54 x 0.49 inches
525,Fatal Flaw,William Lashner,9780060508180,HarperTorch,Unknown,576 pages,4.26 x 6.80 x 1.25 inches
526,Pacific Vortex!,Clive Cussler,9780553593457,Bantam,Unknown,266 pages,4.18 x 7.62 x 0.70 inches
527,An Introductory Primer to Writing Fiction,Constant Reader Learning Materials,9781544672731,CreateSpace Independent Publishing Platform,Unknown,,
528,Flush,Carl Hiaasen,9780375861253,Yearling Books,Unknown,263 pages,5.40 x 7.64 x 0.69 inches
529,Louis Pasteur and the Hidden World of Microbes,Louise Robbins,9780195122275,Oxford University Press USA,Unknown,144 pages,6.76 x 9.40 x 0.56 inches
530,Mulch Ado about Murder (Local Foods Mystery),Edith Maxwell,9781496700292,Kensington,Unknown,,
531,Postmodern Science Fiction and Temporal Imagination,Elana Gomel,9781441144027,Continuum,Unknown,192 pages,6.14 x 9.21 x 0.40 inches
532,Meno Parmenides and Theaetetus (Barnes & Noble Library of Essential Reading),Plato,9781435107861,Barnes & Noble,Unknown,,
533,Star Trek: The Fall b,r Trek: The Fall by,9781476722207,Simon & Schuster,Unknown,352 pages,4.37 x 7.01 x 0.00 inches
534,Nightwalker,Allyson; Ashley; Jennifer James,9780986023842,JA / AG Publishing,Unknown,,
535,The Holy Bible b,Holy Bible by,9781435125391,Sterling Publishing Co Inc,Unknown,1343 pages,6.26 x 9.49 x 0.00 inches
536,Arundel,Edward Frederic Benson,9781519582577,CreateSpace Independent Publishing Platform,Unknown,,
537,Dead Heat (Alpha and Omega),Patricia Briggs,9780425256282,Ace,Unknown,,
538,Lilac Girls,Martha Hall Kelly,9781101883082,Ballantine Books,Unknown,,
539,The American Nurse,Carolyn Jones,9781599621210,Welcome Books,Unknown,180 pages,
540,The First Counsel,Brad Meltzer,9780446572187,Grand Central Publishing,Unknown,592 pages,4.30 x 7.50 x 1.30 inches
541,First Sight,Danielle Steel,9780440242055,Dell,Unknown,,
542,The Stranded Whale,Jane Yolen,9780763669539,Candlewick,Unknown,,
543,Visitations,Lee Upton,9780807168127,LSU Press,Unknown,,
544,Science Fiction and the Theatre,Ralph Willingham,9780313289514,Greenwood Press,Unknown,232 pages,6.14 x 9.21 x 0.56 inches
545,Dystopia,Charles Eugene Anderson,9781522702504,CreateSpace Independent Publishing Platform,Unknown,,
546,Daniel's Gift,Barbara Freethy,9780996946476,Hyde Street Press,Unknown,,
547,Infinity Wars,Jonathan Strahan,9781781084915,Solaris,Unknown,,
548,Gaia (Elios and Gaia),Monica La Porta,9781939843111,Monica La Porta,Unknown,,
549,Authority,Jeff VanderMeer,9780374104108,FSG Originals,Unknown,,
550,Celtic Myths and Legends,T.W Rolleston,9780760783351,Barnes and Noble,Unknown,,
551,The Cornish Trilogy,Robertson Davies,9780140158502,Penguin Books,Unknown,1152 pages,5.08 x 7.74 x 2.15 inches
552,Batman Begins,Christopher Nolan; David S. Goyer,9780571229949,Faber & Faber,Unknown,340 pages,6.28 x 9.06 x 1.11 inches
553,Cinnamon,Neil Gaiman,9780062399618,HarperCollins,Unknown,,
554,Adventures of Huckleberry Finn Thrift Study Edition,Mark Twain,9780486475844,Dover Publications,Unknown,336 pages,5.10 x 8.20 x 0.90 inches
555,Naming Liberty,Jane Yolen; Jim Burke,9780399242502,Philomel Books,Unknown,,12.18 x 9.54 x 0.42 inches
556,Fragment on Mackintosh,James Mill,9781855069190,Thoemmes Press,Unknown,444 pages,5.60 x 8.70 x 1.40 inches
557,Midnight Blue-Light Special,Seanan McGuire,9780756407926,Daw Books,Unknown,368 pages,
558,MR Mean Streak,John Hershey,9781413435764,Xlibris Corporation,Unknown,164 pages,8.50 x 5.51 x 0.38 inches
559,The Chopin Manuscript,Jeffery Deaver; Lisa Scottoline; Lee; Editor/Steve Child,9781423377023,Brilliance Corporation,Unknown,,5.26 x 7.02 x 1.41 inches
560,Five Ghosts Volume 2,Frank J Barbiere,9781607069812,Image Comics,Unknown,,
561,The Dor Gallery of Bible Illustrations - The Original Classic Edition,Gustave Dor,9781486146017,Tebbo,Unknown,144 pages,7.44 x 9.69 x 0.31 inches
562,Buddhism,Jeff Hay; Helen Cothran; Bonnie Szumski,9780737725636,Greenhaven Press,Unknown,238 pages,5.52 x 8.82 x 0.77 inches
563,Fatal Chaos (The Fatal Series),Marie Force,9781335949349,HQN,Unknown,,
564,From Wells to Heinlein,James Gunn,9780810844391,Scarecrow Press,Unknown,511 pages,6.00 x 8.80 x 1.40 inches
565,Paper Dollhouse,Lisa M. Masterson,9780762761258,Skirt!,Unknown,272 pages,5.61 x 8.88 x 0.99 inches
566,Mistborn,Brandon Sanderson,9780765377135,Tor Teen,Unknown,,
567,Frostborn,Jonathan Moeller,9781542675642,CreateSpace Independent Publishing Platform,Unknown,,
568,Long-Term Monitoring at the East and West Flower Garden Banks 1996-1997,U.S. Department of Agriculture,9781514142783,CreateSpace Independent Publishing Platform,Unknown,,
569,Invisible Prey,John Sandford,9780425221150,Berkley Trade Pub,Unknown,441 pages,4.39 x 7.55 x 0.98 inches
570,Passage to Ararat,Michael J. Arlen; Geoffrey Wolff,9780374530129,Farrar Straus Giroux,Unknown,293 pages,5.62 x 8.36 x 0.84 inches
571,Bark,Lorrie Moore,9780307740861,Vintage,Unknown,,
572,Melies' Notebook and Other Stories,Freder,9781482557305,CreateSpace Independent Publishing Platform,Unknown,,
573,The Pilgrim's Progress,John Bunyan,9781539696254,CreateSpace Independent Publishing Platform,Unknown,,
574,Eugenia Parrish's Baker's Dozen +2,Eugenia Parrish,9781481008273,CreateSpace Independent Publishing Platform,Unknown,,
575,Alcatraz 4. Las lentes fragmentadas (Spanish Edition),Brandon Sanderson,9788416712144,Ediciones B,Unknown,,
576,Millennial Mythmaking,John Perlich; David Whitt,9780786445622,McFarland & Company,Unknown,202 pages,5.90 x 8.80 x 0.70 inches
577,D-Day,Marcia Amidon Lusted,9781624032592,Abdo Publishing Company,Unknown,,
578,The Mediterranean Caper,Clive Cussler,9780425197394,Berkley,Unknown,384 pages,4.20 x 7.50 x 1.10 inches
579,Saga Volume 6,Brian K Vaughan,9781632157119,Image Comics,Unknown,,
580,The San Francisco Earthquake,Rebecca L. Johnson,9780792258643,National Geographic Home Video,Unknown,66 pages,
581,Curious Reflections,Zobian And A Lesley Zobian and Ann Humm,9781440190940,iUniverse,Unknown,216 pages,9.01 x 5.98 x 0.45 inches
582,16 Souls,John J Nance,9781947290136,WildBlue Press,Unknown,,
583,Noble Ark (Mankind's Redemption) (Volume 1),Colette Black,9781497456204,CreateSpace Independent Publishing Platform,Unknown,,
584,Memento & Following,Christopher Nolan,9780571210473,Faber & Faber,Unknown,240 pages,4.96 x 7.80 x 0.62 inches
585,The Devil's Triangle (A Brit in the FBI),Catherine; Ellison; J.T. Coulter,9781501150340,Pocket Books,Unknown,,
586,Australian Settler Colonialism and the Cummeragunja Aboriginal Station,Fiona Davis,9781845196080,Sussex Academic Press,Unknown,224 pages,5.98 x 9.02 x 0.00 inches
587,Isaac Asimov,Isaac Asimov,9780385416276,Broadway Books,Unknown,624 pages,6.00 x 9.10 x 1.60 inches
588,Paradise Screwed,Carl Hiaasen; Diane Stevenson,9780813034287,University Press of Florida,Unknown,418 pages,6.10 x 8.86 x 1.02 inches
589,Cool Gravity Activities,James Hopwood,9781599289083,Checkerboard Books,Unknown,32 pages,7.99 x 7.99 x 0.35 inches
590,C.M. Kornbluth,Mark Rich,9780786443932,McFarland & Company,Unknown,439 pages,6.90 x 9.80 x 1.00 inches
591,The Cultural Transfer of Science Fiction and Fantasy in Hungary 1989-1995,Aniko Sohar,9783631350379,Lang Peter Gmbh Internationaler Verlag Der,Unknown,276 pages,
592,Deryni Rising,Katherine Kurtz,9780441016600,Ace Books,Unknown,287 pages,4.10 x 6.60 x 0.90 inches
593,Devil's Food Cake Murder,Joanne Fluke,9780758234926,Kensington Publishing Corporation,Unknown,304 pages,4.10 x 6.70 x 1.20 inches
594,Handbook of Research on Children's and Young Adult Literature,Shelby A. Wolf; Karen Coats; Patricia Enciso,9780415965064,Routledge,Unknown,555 pages,8.50 x 11.00 x 1.20 inches
595,Devine P.I.,James Carroll,9781449054359,Authorhouse,Unknown,48 pages,7.99 x 4.99 x 0.11 inches
596,Rope,Alison Hawthorne Deming,9780143116363,Penguin Books,Unknown,96 pages,5.74 x 9.10 x 0.34 inches
597,From History's Shadow,Dayton Ward,9781476719009,Simon & Schuster,Unknown,432 pages,4.37 x 7.01 x 0.00 inches
598,From the Dead,John Herrick,9780982147016,Segue Blue,Unknown,376 pages,5.00 x 8.02 x 0.92 inches
599,Journey to the center of the Earth 1864,Jules Verne,9781517349462,CreateSpace Independent Publishing Platform,Unknown,,
600,Life in High Def,Kimberly Cooper Griffin,9780997219012,Skeetie B's,Unknown,,
601,My First Book of Science Experiments,Thomas Canavan,9781785991394,Arcturus Publishing Limited,Unknown,,
602,Birds : Coloring Book 4,Angela Catnich,9781542360388,CreateSpace Independent Publishing Platform,Unknown,,
603,El Aliento de Los Dioses,Brandon Sanderson,9788466646239,Ediciones B,Unknown,688 pages,5.90 x 9.00 x 1.90 inches
604,Knifepoint,Edward W. Robertson,9781492184362,CreateSpace Independent Publishing Platform,Unknown,,
605,Le Crime,Peter Steiner,9780312380663,Minotaur Books,Unknown,246 pages,6.40 x 8.24 x 0.66 inches
606,Star Trek,Dayton Ward,9781501107146,Pocket Books/Star Trek,Unknown,,
607,The Silver Spoon Effect,Lionel Levy,9781541032057,CreateSpace Independent Publishing Platform,Unknown,,
608,Scientific Romance,Brian Stableford,9780486808376,Dover Publications,Unknown,,
609,Spook (Get Spooky) (Volume 1),Jinx,9781543092110,CreateSpace Independent Publishing Platform,Unknown,,
610,Ernest Hemingway,Ernest Hemingway,9781435129849,BOOKS,Unknown,,
611,Kissing Midnight,Emma Holly,9780425223390,Berkley,Unknown,304 pages,4.44 x 6.58 x 0.85 inches
612,The Immortal Highlander,Karen Marie Moning,9780440237563,Dell Publishing Company,Unknown,384 pages,6.28 x 7.40 x 1.08 inches
613,The Wife Between Us,Greer; Pekkanen; Sarah Hendricks,9781250130921,St. Martin's Press,Unknown,,
614,Anatomy of Wonder,Neil Barron,9781591581710,Libraries Unlimited,5,1016 pages,6.52 x 9.42 x 2.00 inches
615,Armada,Ernest Cline,9780804137270,Broadway Books,Unknown,,
616,Flesh and Blood,Jonathan Kellerman,9780345508539,Ballantine Books,Unknown,538 pages,6.54 x 7.48 x 1.34 inches
617,A Trio of Murders,Jill McGown,9781447268680,Pan Macmillan,Unknown,,
618,Warlock,Ethan Radcliff,9781507760598,CreateSpace Independent Publishing Platform,Unknown,,
619,Math 2 Combo Book,School Zone Publishing; B. Gregorich; Lorie DeYoung,9780887431388,School Zone Publishing Company,Unknown,64 pages,8.51 x 10.91 x 0.18 inches
620,Commander Toad and the Planet of the Grapes,Jane Yolen; Bruce Degen,9780698113534,Puffin Books,Unknown,64 pages,5.76 x 8.47 x 0.22 inches
621,Bulfinch's Mythology,Thomas Bulfinch; Charles Martin; George Stade,9781593082734,Barnes & Noble,Unknown,889 pages,6.93 x 7.95 x 2.00 inches
622,Science Fiction and the Two Cultures,Gary Westfahl; George Slusser,9780786442973,McFarland & Company,Unknown,282 pages,5.90 x 8.90 x 0.90 inches
623,First Impressions,Jude Deveraux,9781501131356,Pocket Books,Unknown,,
624,The Postcard Killers,James Patterson; Liza Marklund,9781455506637,Vision,Unknown,432 pages,4.30 x 7.57 x 1.16 inches
625,Editing the Soul,Everett Hamner,9780271079332,Penn State University Press,Unknown,,
626,DK Eyewitness Books,DK,9781465458513,DK Children,Unknown,,
627,The Fix (Memory Man series),David Baldacci,9781455586585,Vision,Unknown,,
628,High Voltage Engineering,Andreas K. Chler,9783642119927,Springer,Unknown,600 pages,
629,The Five Lessons a Millionaire Taught Me about Life and Wealth,Richard Paul Evans,9780743287005,Fireside Books,Unknown,133 pages,5.69 x 7.78 x 0.75 inches
630,Byssus,Jen Hadfield,9781447241102,Pan Macmillan,Unknown,80 pages,5.12 x 7.76 x 0.00 inches
631,The Untouchable,John Banville,9780679767473,Vintage Books USA,Unknown,384 pages,5.12 x 8.07 x 0.87 inches
632,Radical Reformation 3/E,George Huntston Williams,9780943549835,Truman State University Press,3,1516 pages,5.88 x 9.10 x 2.02 inches
633,Enemy of Mine (Pike Logan),Brad Taylor,9780451419934,Dutton,Unknown,,
634,The Desert of Wheat,Zane Grey,9781984295569,CreateSpace Independent Publishing Platform,Unknown,,
635,RudderHaven Science Fiction and Fantasy Anthology IV,Douglas; Deatherage; C. K.; Rudder; Becca Lynn; Rudd Rudder,9781932060201,RudderHaven,Unknown,,
636,Collecting the Dead,Cressida Fforde,9780715632840,Duckworth Publishing,Unknown,198 pages,6.10 x 9.10 x 0.70 inches
637,The Sance,John Harwood,9781482951462,Blackstone Audio,Unknown,,
638,Neverwhere,Neil Gaiman,9780062476371,William Morrow,Unknown,,
639,Liens de Sang (5me Avenue 4) (Volume 4) (French Edition),Christopher Smith,9781492353416,CreateSpace Independent Publishing Platform,Unknown,,
640,Futuredaze b,uredaze by,9780985893408,,Unknown,290 pages,5.98 x 9.02 x 0.59 inches
641,A Catholic Woman's Book of Prayers,Donna-Marie Cooper O'Boyle,9781612619217,Paraclete Press,Unknown,,
642,Death on the Mountain,L. M. Steen,9781452825854,Createspace,Unknown,298 pages,7.99 x 5.00 x 0.62 inches
643,The Real Liddy James,Anne-Marie Casey,9780399160226,G.P. Putnam's Sons,Unknown,,
644,The Pilgrim's Progress,John Bunyan,9781978117624,CreateSpace Independent Publishing Platform,Unknown,,
645,Bob Seger & the Silver Bullet Band Greatest Hits 2,Hal Leonard Publishing Corporation,9780634068850,Hal Leonard Publishing Corporation,Unknown,144 pages,8.98 x 12.00 x 0.38 inches
646,The Eternal Husband,Fyodor M. Dostoevsky; Hugh Aplin; Andrew Miller,9781843911630,Hesperus Press,Unknown,160 pages,4.98 x 7.72 x 0.55 inches
647,Daughter of Ancients,Carol Berg,9780451460424,Roc,Unknown,530 pages,4.24 x 6.74 x 1.24 inches
648,Arranged Marriage,Chitra Banerjee Divakaruni,9780385483506,Anchor Books,Unknown,320 pages,5.29 x 8.07 x 0.70 inches
649,Fletch Reflected,Gregory McDonald,9780375713507,Vintage Books USA,Unknown,222 pages,5.28 x 8.00 x 0.60 inches
650,Lady of the Mountain,Lyn Armstrong,9781934992920,Resplendence Publishing LLC,Unknown,160 pages,7.99 x 5.23 x 0.37 inches
651,A Big Book of Strange Weird and Wonderful,Russell,9781479188222,CreateSpace Independent Publishing Platform,Unknown,,
652,Cross Currents,John Shors,9780451234605,New American Library,Unknown,352 pages,6.60 x 8.24 x 0.75 inches
653,Siddhartha,Hermann Hesse; Robert A. F. Thurman; Rika Lesser,9781593083793,Barnes & Noble Classics,Unknown,160 pages,
654,Domina,L.S. Hilton,9780399184826,G.P. Putnam's Sons,Unknown,,
655,Deep Space: Star Carrier,Ian Douglas,9780062183804,Harper Voyager,Unknown,,
656,An Agent of Pathos,Michael Stuart,9781452017877,Authorhouse,Unknown,252 pages,9.00 x 6.00 x 0.57 inches
657,Home Address: ISS,James Buckley,9780448487090,Penguin Young Readers,Unknown,,
658,Harlequin Valentine (Second Edition),Neil Gaiman,9781506700878,Dark Horse Books,Unknown,,
659,Dollhouses,Halina Pasierbska,9781851778195,Victoria & Albert Museum,Unknown,,
660,Tony's Original science fiction & fantasy,Tony Salvitti,9781537220994,CreateSpace Independent Publishing Platform,Unknown,,
661,The Broken Road,Richard Paul Evans,9781501111648,Simon & Schuster,Unknown,,
662,Betrayed,Nicky Charles,9781499152920,CreateSpace Independent Publishing Platform,Unknown,,
663,The Immortalists,Chloe Benjamin,9780735213180,G.P. Putnam's Sons,Unknown,,
664,Reductionism in Art and Brain Science,Eric Kandel,9780231179621,Columbia University Press,Unknown,,
665,Against All Odds,Irene Hannon,9780800733100,Fleming H. Revell Company,Unknown,334 pages,5.50 x 8.50 x 1.00 inches
666,Dead Watch,John Sandford,9780425215692,Berkley Trade Pub,Unknown,406 pages,4.24 x 7.53 x 1.03 inches
667,Sherlock Holmes and the Vampires of Eternity,Brian Stableford,9781934543061,Hollywood Comics,Unknown,348 pages,6.00 x 9.00 x 0.78 inches
668,Blood Silver,Woody P Snow,9781940222226,Pen-L Publishing,Unknown,,
